name,text,context
Barney," Marshall, I'm going to get you an early wedding present. Don't get married."," Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.  I think I like your Olive Theory."
Barney, What?, I think I'm in love with you.  What?
Barney," Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it."," What?  Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women (Lily appears behind Marshall in the open window) doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives."
Barney," Why are we still sitting here? Let's go! We can still make last call. What do you say Lil? (Pirate Accent) Yo, ho ho and a bottle o' rum? (Silence) 'Cuz you're a pirate..."," Olives. Thanks. I love you. What's wrong with me?  Okay, eye patch gone-(takes eye patch off and throws it at Barney) And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support."
Barney, You think they're doing it in front of the dogs?, It's been like twenty minutes. You think they're doin' it?  Doggie style. (Laughs)
Barney, I had this girl in college; she had a golden retriever-," Doggie style. (Laughs)  Okay, we can go to the bar, just stop talking."
Barney, h*t it Ranjit. (They drive off)," Okay, we can go to the bar, just stop talking.  So when you tell this story to your friends, could you avoid the word psycho? I prefer...eccentric."
Barney, There's no such thing as the signal. But yeah-that was the signal., That long lingering handshake-you should've kissed her!  Signal (nods)
Barney," Yeah Ted, we're not on you anymore."," Guys, trust me. I've seen the signal. That was not the signal.  (Toasting) To my fianc'!"
Barney," I suggest we play a little game I like to call, Have you Met Ted?"," Right, so (While Flashbacks take place) back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, Maybe I should get married. Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.  No, no, no-we're not playing Have you Met Ted!"
Barney, (Taps Robin's shoulder) Hi! Have you met Ted? (Leaves)," No, no, no-we're not playing Have you Met Ted!  So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid"
Barney, (hits him) No! As your sponsor I will not let you relapse. You blew it; it's over-move on., I'm in love with her.  I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.
Barney," Yeah, cuz nothing says Casual like inviting a hundred people over just to Mac on one girl. Oh, and Lily-that's my leg.", We are now-Casual  You waited five minutes to tell me that?
Barney, What's so special about the roof?," Get her up to the roof and the roof takes care of the rest.  Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof."
Barney," Solid plan, my little friend.", We do it up there sometimes.  We're the same height.
Barney, But may I suggest one little modification.," We're the same height.  That foxy young thing you were chatting up, take her up to the roof and have sex with her! Crazy monkey-style."
Barney," That foxy young thing you were chatting up, take her up to the roof and have sex with her! Crazy monkey-style.", But may I suggest one little modification.  That's not the plan.
Barney," Should be the plan, I mean look at her. Ted, look at her. She's smokin'!", That's not the plan.  Thank you.
Barney," Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?"," Yeah, but she's not Robin.  Barney, I don't wanna say-"
Barney," Aargh! (Pulls down imaginary scope) Scoping, beep, scoping, beep!"," Barney, I don't wanna say-  Man you're a dork."
Barney," beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call Have You Met Ted?"," Man you're a dork.  No, come on not this."
Barney, (taps woman) Hi! Have you met Ted?," No, come on not this.  No."
Barney, Do you know Marshall? Lily?, Hi.  No. (smiles)
Barney," Hmm, do you know anyone at this party?", No. (smiles)  I work with Carlos.
Barney," Excuse me, (to group) Anyone know a Carlos?", I work with Carlos.  No.
Barney, On a silver platter! Bon appetite!, No.  I don't think so.
Barney," Your loss, her gain. (To Tatiana) Excuse me, can I show you the roof? It's magical up there!", I don't think so.  Sure (Smiles)
Barney," Dude, Robin's not coming."," Whoa-whoa-Hey hey. I got that roof reserved!  Hey, she's goanna show up. (Silence) She'll show up."
Barney," Oh, you were so right about the roof. The roof. The roof is on f*re, Ted! Girl from last night, took her back to my place then this morning took her outside, spun her around a couple of times sent her walking-she will never find her way back and there she is. How did she get here? Did you invite her?", I'm the luckiest girl alive (runs into bedroom. Marshall strips.)Scene Five  I have no idea who that is.
Barney," She said she works with Carlos, who's Carlos?", I have no idea who that is.  I don't know any Carlos.
Barney," Grr. (Turns around) Hi, you. You're back."," I don't know any Carlos.  I sure am (kisses Barney). Come on, sweetie, I need a drink."
Barney, sweetie? Really? (They walk into the kitchen Barney mouths) Sweetie?," I sure am (kisses Barney). Come on, sweetie, I need a drink.  Whoa-Whoa rabbits! Come on, I got that roof reserved."
Barney," So, it's over between me-and-works with Carlos girl."," Alright.  Oh, that was fast."
Barney," Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?"," Oh, that was fast.  I think I'm in love with you."
Barney, I think I'm in love with you.," Yeah, I was trying to think what's the quickest way to get rid of a girl you just met?  What?"
Barney," Thanks, bro (walks away)", What?  (straight-faced) Glad I could help.
Barney," Oh, this is lame.", So I threw a third party for Robin. On a Sunday night (Very Little people in the apartment)  lame or Casual?
Barney, lame., lame or Casual?  Or Casual?
Barney, Of course.," Hello, Barney.  You look well. Isn't it weird they invited both of us?"
Barney, Who? Who invited you? No one even know who you are!," You look well. Isn't it weird they invited both of us?  I understand you're hurt, but, you don't have to be cruel. Carlos was right about you."
Barney, Who is Carlos!?," I understand you're hurt, but, you don't have to be cruel. Carlos was right about you.  Okay, where the hell is my-OHH! (Book has been used as coaster, all wet) Okay, introduction to contract work institution statutes from'65 to'23...is not a coaster! Ted! I'm jeopardizing my law career so that you can throw not one, not two, but three parties for some girl that you just met who's probably not gonna show up. (Ted's shocked) I mean where is she, Ted, huh? Where's Robin? (Finds Robin) Hi! Hi Robin. (Throws book on the floor and grabs Lily for sex)"
Barney, Ohhh.Scene Six," Carlos (shake hands)  She's still talking to Carlos. I can still win this, it's not over."
Barney," Yeah well, the one is heading up to the roof. (Robin leaves to the roof with Carlos)", She's not just one of them she's the one.  What are you gonna do?
Barney," Unbelievable. That is just a recipe for disaster, they work together (Carlos and Tatiana are making out)"," My friends are goanna love you-like you-you know, as a friend. (Robin giggles) Jackass.  You jealous?"
Barney," Oh, please, what does Carlos have that I don't?", You jealous?  a date tonight?
Barney, I'm not sure I like her.," Ohh!!  Hey, don't you have a paper to write?"
Barney," (On Phone) MacLaren's is bore, snore. Ted, tonight we're going to go out. We're going to meet some ladies. It's going to be legendary. Phone-five! (High-fives the phone)", What's wrong with MacLaren's?  I had no idea why I hung out with Barney.
Barney," You didn't phone-five did you? I know when you don't phone-five, Ted. Come on, we always go to MacLaren's."," I had no idea why I hung out with Barney.  Yeah, cause MacLaren's is fun..."
Barney, MacLaren's is this much fun. What I'm offering is the chance to have this much fun.," Yeah, cause MacLaren's is fun...  See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!"
Barney," This hand gesture thing doesn't really work on the phone, does it?"," See, you say that. You say it's going to be this much fun. But most of the time it ends up being this much fun. This much fun is good! It's safe. It's guaranteed!  No it doesn't."
Barney, Get in the cab. Marshall you too.," No it doesn't.  Oh, I wish I could... I think Lily and I are just goi..."
Barney, I understand. (To Ted) Get in the cab.," Oh, I wish I could... I think Lily and I are just goi...  Why can Marshall say no?"
Barney, Uhh... because he's getting laid., Why can Marshall say no?  Consistently.
Barney," (Doing I see you hand motion) Ted, Ted, Ted. Right here. You keep going to the same bar, you're in a rut and I am a rut buster. I'm going to bust your rut (Smiles)."," Consistently.  It's not a rut, okay. It's a routine and I like it!"
Barney," Ted, what's the first syllable in rutting (trying to make it sound like routine. Ted gives in and jumps in the cab) Peace out, suckers. (Cab speeds off.)"," It's not a rut, okay. It's a routine and I like it!  Alright, so what's this legendary plan."
Barney, First we got to pick someone up at the airport.," Alright, so what's this legendary plan.  Okay, I'm outta here."
Barney," (To cabdriver) Estaban, doors! (Cab doors lock)"," Okay, I'm outta here.  Just this one little thing and the rest of the night is ours."
Barney, Just this one little thing and the rest of the night is ours.," (To cabdriver) Estaban, doors! (Cab doors lock)  Why do you have those suitcases, and who are we picking up?"
Barney, I don't know. Maybe her? Or her.," Why do you have those suitcases, and who are we picking up?  Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport."
Barney," (winks) Scenario. Couple of girls fly into town, looking for a fun weekend in NYC when they meet two handsome international business men just back from a lucrative trip to Japan. Sample dialogue, You have a wheelie bag? Wh... I have a wheelie bag!", Wait so when you said you were going to pick someone up at the airport. You meant you were going to pick someone up at the airport.  You've gotta be kidding me.
Barney," False. Sidebar, tuck in your shirt. You look sketchy.", You've gotta be kidding me.  I'm sketchy?
Barney," Trust me, it's going to be legendary."," I'm sketchy?  Don't say legendary, okay? You're too liberal with the word legendary."
Barney, We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!," Don't say legendary, okay? You're too liberal with the word legendary.  Ted, Ted, Ted. Right here! This is happening. Now you can either put your bags on the carousel now, or you can listen to me give you a really long speech convincing you to put the bags on the carousel. Your move. (Silence) Ted, since the dawn of time mankind has struggled... (Ted puts bags on carousel)"
Barney," Ted, Ted, Ted. Right here! This is happening. Now you can either put your bags on the carousel now, or you can listen to me give you a really long speech convincing you to put the bags on the carousel. Your move. (Silence) Ted, since the dawn of time mankind has struggled... (Ted puts bags on carousel)"," We're building an igloo in Central Park. It's gonna be legendary. Snow suit up!  That night, Marshall had a ton of studying to do. So Lily went out with Robin who was new to New York and looking for a friend."
Barney," Okay, carousel four is tapped out. Ready? Because I'm about to drop some knowledge. Cute girls are not from Buffalo. Time-out. Ten o'clock. You ready to rock this, Tedder?"," (To waiting woman) So...uh, did you just get in from Detroit? (Points to self) Japan. (Woman leaves)  Alright, um, I think we need to refine our back-story first. How did we..."
Barney," Ted, you klutzy, great guy, you! (Barney shoves Ted into two lady's cart and Ted trips backwards. To Women) Hey, Barney. (Adjusts tie)"," Alright, um, I think we need to refine our back-story first. How did we...  Oh, my god. (To Ted) Are you okay?"
Barney, Philly? That's where we're headed!, Philadelphia.  You are? Well...uh...guess we'll see you on the plane.
Barney," Yes, you will. (Girls leave. To Ted) Follow them, tickets on me."," You are? Well...uh...guess we'll see you on the plane.  No, Barney. Don't you get on that escalator! And don't you dare get on that subsequent escalator!"
Barney," Hey, is that Marshall? (Takes Phone) Marshall, stop whatever you're doing, get in that hoopty-ass Vierro of yours and come meet us in Philly. It's going to be legendary."," (on Phone) That is awesome.  (on Phone) Man, I wish I could, guys, but..."
Barney," Yeah, yeah, yeah... I sent you some pictures on my phone, check it. (Pictures show Barney doing I see you hang gesture) Philly! (Hangs up. To Ted) Admit it, you're having fun. This much fun. Thirty-five thousand feet of fun!"," (on Phone) Man, I wish I could, guys, but...  Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that."
Barney, Let's go talk to those girls.," Well I didn't think we'd be on a flying to Philadelphia when I woke up this morning, I'll give you that.  Whoa, whoa, whoa, the seatbelt light is on."
Barney," Ted, you've been living your whole life in a seatbelt. It's time to unclick. (Unclicks)"," Whoa, whoa, whoa, the seatbelt light is on.  (Walks by) Sir, seatbelt light's on."
Barney," (sits back down) Yeah, sorry, sorry."," (Walks by) Sir, seatbelt light's on.  So I grew up in Park Slope."
Barney," (To Ted) No! No! The night is just started. Look, airport bar. Flight attendants! They'll get your tray table at its full upright position. Say what? (Goes for a high five)"," (On Phone) Fine! (Hangs up)  Passengers Mosby and Stinson? Please come with us, gentlemen. Keep your hands where I can see them."
Barney," Don't say you're going to k*ll someone in front of airport security, not cool. (To security) Not cool."," Barney, I am going to k*ll you.  This is an outrage. We are international businessmen on an international business trip. I demand you release us immediately."
Barney, This is an outrage. We are international businessmen on an international business trip. I demand you release us immediately.," Don't say you're going to k*ll someone in front of airport security, not cool. (To security) Not cool.  You demand!? No, no, no, no, no... he does not demand. We... we... we have no demands!"
Barney, (To Ted) Those bags were your responsibility.," We got footage of you placing two bags on JFK carousel three, and abandoning them to purchase a last minute flight with cash.  They were your bags."
Barney, (Stopping him) Please. (Silence) We are international businessmen. My colleague accidentally left the bags there now please let us go before we miss our international business meeting.," Look, this is all just... it's a misunderstanding.  Can't remember the last time I saw an international business man with an untucked shirt. In addition, we received this footage taken over the last few months."
Barney," Believe it or not, that duff bag thing worked."," Can't remember the last time I saw an international business man with an untucked shirt. In addition, we received this footage taken over the last few months.  Truth is, my friend... he does this thing where he goes to airports with fake luggage to pick up girls and we followed some here to Philadelphia. That's it! That's all this is!"
Barney, We are international businessmen...," Yes, he's that lame. Tell them you're that lame!  OH COME ON!"
Barney," Dude, seriously, relax.", Sir! Lower your voice or we'll restrain you.  We at least get to call our lawyer.
Barney, Exactly! (To Ted) We have a lawyer?," We at least get to call our lawyer.  (On Phone) Listen to me, you're both American citizens. Don't let them pull any patriot-act voodoo. You both retain the right to refuse to answer any questions without an attorney present so don't say anything until I get there, alright? Okay, goodbye (Hangs up. Sings) To Philly! The adventure continues! Destroy!"
Barney," Relax, Ted. We didn't do anything wrong. And, B.T.W, we'd be out of here by now if you'd have tucked in your shirt. (Ted turns his head to face away from Barney)"," You had to play the race card.  Go ahead, JFK... what is the baggage status?"
Barney, (To Ted) We're going to Sascha's?," (On Phone) No, we can't just... we're going home!  Who the hell is Sascha?"
Barney, Sascha. (Points to Security Woman) She's having friends over for drinks at her house. It's goanna be legen... wait for it...and I hope you're not lactose intolerant 'cuz the second half of that word is... dairy., Who the hell is Sascha?  No.
Barney, Legendary!," No.  (On Phone) Legendary, that sounds awesome!"
Barney," (On Phone) Marshall, we're going to Sascha's!"," (On Phone. Sighs) Fine. (Beep) Hold on I have another call. (Presses button) Hello.  No, we're not."
Barney," (On Phone) Ted, Ted, Ted. (Does I'm watching you hand gesture) Yes, we are."," No, we're not.  (On Phone With Ted) Sorry, Buddy, two against one. (hangs up)"
Barney," So, uh... you're Sascha's friends, huh?"," So, Barney and I h*t the town. Philadelphia, PA. Our first and only stop... Sascha's party.  You know it."
Barney, Philly!," (Comes down the stairs with drinks) You guys, keep the volume down. You're goanna wake my grandpa. Who wants hard lemonade? (They all take some)  Shh!"
Barney, (Whispers) Philly!," Shh!  Back at the bar, the girls night out wasn't going as Robin had hoped. (Cell Phone rings)"
Barney," (Laughs) Did you hear that, Ted? Dana works security at the Liberty Bell."," (On Phone) No! Don't interrupt it's awesome. So the rings really off, huh? (Realizing what he's done) It's awesome... Well just tell her I called and... tell her that... she's awesome. (Hangs up. Sings dryly) Really, really awesome. Our relationship is built on mutual trust. (Dryly) I can't breathe!  (Smiling) I do okay."
Barney, Wow it must be really well cornered off over there. You ever go behind the rope and touch it?, (Smiling) I do okay.  Only all the time.
Barney," Ever, like, stick your head inside it?", Only all the time.  Yeah.
Barney, D'you ever lick it?," Yeah.  Nope, I have never licked it."
Barney, Hmm... I bet nobody in history has ever licked the Liberty Bell! If someone were to pull that off I dare say it would be... what's the word?," Nope, I have never licked it.  (Decides he's going to leave) Well, this is my stop."
Barney," Legendary, Ted, LEGENDARY!"," (Decides he's going to leave) Well, this is my stop.  Barney, I'm going to the airport. Sascha, thank you... and uh... tell your grandpa I'm sorry I walked in on him in the bathroom. (Leaves)"
Barney, Could have licked the Liberty Bell., Hey!  We're going to the airport.
Barney," Bong, bong..."," We're going to the airport.  Why do I hang out with you? Why? All I wanted was to have a regular beer, in a regular bar with my regular friends, in my regular city!"
Barney," Ted, Ted... you're not even looking."," Why do I hang out with you? Why? All I wanted was to have a regular beer, in a regular bar with my regular friends, in my regular city!  No, I'm not."
Barney," Look, our forefathers died for the pursuit of happiness, okay. Not for the sit around and wait of happiness. Now if you want, you can go to the same bar, drink the same beer talk to the same people everyday, or you can lick the Liberty Bell! You can grab life by the crack and lick the crap out of it!"," No, I'm not.  That was beautiful, man!"
Barney," Thanks, Leonard. Ted, you're missing out on a valuable life lesson!"," That was beautiful, man!  Look, I don't need you to teach me how to live, okay. I know how to live. If you want to go lick the Liberty Bell just go lick it yourself."
Barney," No, it has to be the two of us."," Look, I don't need you to teach me how to live, okay. I know how to live. If you want to go lick the Liberty Bell just go lick it yourself.  Why? Why do you need me?"
Barney," Because, you're my best friend, alright? You don't have to tell me I'm yours. But the way I see it, we're a team. Without you, I'm just the dynamic uno. You know what, fine. If you wanna go home... then we'll go home.", Why? Why do you need me?  Fine...we'll go lick the Liberty Bell!
Barney," Good, (smiles) 'cuz we're here! (Hops out)"," Fine...we'll go lick the Liberty Bell!  (voice) I had no idea how Barney redirected the cab without me knowing, but we got out, Dana let us in and by god we licked the Liberty Bell. And you know what it tastes like?"
Barney, Booger.," That's the crazy part. I've had this shirt for, like, six years... Until this morning I wasn't into it at all, but now it's like my tastes have changed.  Yes, hello, Barney."
Barney," Not some stupid word, Booger."," Barney's offering me fifty bucks to say some stupid word on a live news report.  But I'm not doing it, I am a journalist."
Barney," What? Journalist? You do the little fluff pieces at the end of the news. Old people, babies, monkeys... that's not journalism, that's just things in a diaper."," But I'm not doing it, I am a journalist.  For your information, my boss is about to bump me up to the City Hall b*at."
Barney," Of course not, because now you're saying Nipple and it's a hundred! (Whispers) Step into my web.", So I'm not going to jeopardize my promotion by saying Booger for fifty bucks.  (Sipping drink) Mmm... Who's bourbon is this?
Barney," Hold up, there are only two reasons to date a girl you've already dated. Breast, Implants."," (Laughs) Not Goonies, girls. What if there's someone from my past, who I thought was wrong for me at the time, but in fact she, like my shirt, is actually a perfect fit?  That's not a bad idea. Let's think, Ted's greatest hits... what about that girl, Steph?"
Barney, You dumped a p*rn star? Friendship over (gets up) FRIENDSHIP OVER!," I just wasn't looking for a big commitment at the time, of course now a big commitment doesn't seem so bad... maybe I should call her? What do you guys think?  Come in, (On Phone) Alright, I'll get back to you. (Hangs up)"
Barney," There she is. Hey is it cold in here, because I can kind of see Robin's nickels? Now for your next challenge..."," At least it's better than booger. (Laughs) Booger.  No, there is not going to be another challenge, I don't care how much you offer me."
Barney," Oh, search your soul, Robin. You and I both know this wasn't about the money. Sure, Metro News One pays you jack and hey, a little green salad on the side's good for you, me and Mr. McGee."," No, there is not going to be another challenge, I don't care how much you offer me.  Seriously, who talks like that?"
Barney," Well baby really likes, is the thrill of pulling one over on those bean counters, who under appreciate you and still haven't promoted you. And for two more hundy-sticks, baby's going to look in the camera and say this (Whispers in her ear)"," Seriously, who talks like that?  Eew. I'm just assuming."
Barney, Did you sleep with her sister?, I don't know!  No.
Barney, Sleep with her mom?, No.  No.
Barney, I'm losing interest in your story.," No.  Well, you must have done something. Why did you guys break up?"
Barney," Know, that was a big mistake, Ted. You should've done it in person."," (On Phone) Hi, Marshall, it's Lily. We're not going have sex for at least a month. But you're awesome. Okay bye-bye. (Hangs up)  Thank you."
Barney, Desperate Please-don't-leave-me sex is amazing.," Thank you.  Okay, it was childish and stupid, I just...I didn't want to see her cry."
Barney, You know what else? My younger sister just got married and I'm about to turn thirty-sex. Fantastic.," That was me then, okay? This is the new old shirt-wearing, sack-having Ted. I'm gonna make this right.  An occasion that was supposed to be joyous suddenly turned tragic when Ethel and Sadie Marsolis, New York's oldest twins, suddenly passed away on this, the eve of their one hundredth birthday. I'm a dirty, dirty girl (Slaps behind). Ow. Reporting live, Robin Scherbatsky, Metro News One."
Barney," You know, that Natalie... she's good times."," I have no idea. Some kind of yoga?  Yeah, she's like the best girl you've dated in years."
Barney," She's probably on the subway by now. You could call her Voice Mail. Beep, dumped. Click. Done!", Ineffable... good word. So when are you going to do it?  I have to do this face-to-face. I just... I don't know what I'm going to say!
Barney," Mm... Mm! Six words! You... look... fat... in... those... jeans..., you're free to go."," No, no. We're going to get you out of this. Okay, how about... It's not you it's me?  Ted, have you considered telling her the truth?"
Barney," Seriously, honey, men are working, here."," Ted, have you considered telling her the truth?  Ted, what is the truth? Why do you want to break up with her?"
Barney," And great TV was had by all. Alright Scherbatsky, new challenge. And this one's big. But so, is the cash reward. For one thousand dollars, you heard me, all you have to do is get up there on the news and do one of these... (does odd dance)", Want to talk mature? I just wrapped up a live newscast by honking my own boobs.  What the hell is that?
Barney," And as you do it, you say this, Elbert Ickey Woods. The bangles were fools to cut you in '91. Your 1521 rushing yards and your 27 touch downs will not be forgotten. So Coach Dave Shullah, screw you and your crappy steakhouse."," The Ickey Shuffle.  Just write it down for me. What do I care, it's not like anyone's watching anyway, right? (Sits down)"
Barney, Ahh! This is it.," (On TV) Well...  Oh, boy, here we go."
Barney," (To everyone in the bar) Everyone, everyone... If I may direct your attention to the television. You're about to see something... amazing."," Oh, boy, here we go.  (on TV) And them, in '72, Mickey Mantle rode my cab for the fourth time."
Barney," Come on, baby... bring it home."," (on TV) And them, in '72, Mickey Mantle rode my cab for the fourth time.  (on TV) But the most exciting moment, that would have to be this one, right now."
Barney," No, Marshall. That was beyond my wildest dreams (Robin's wailing on TV)"," You planned that?  So, if you ever come to Alabama, my mom throws these huge crawfish boils and she's just dying to meet you, by the way."
Barney, But isn't it nice to know that people are watching?," (mimicking) It's in my hair!  Oh, my god. Are you alright?"
Barney," Hey, Ted, you know what always picks me up when I'm down? Other people's misfortune. You missed something so amazing.", I'm bleeding internally.  Please can we please have one person in this whole bar who didn't see it?
Barney, Fine., Please can we please have one person in this whole bar who didn't see it?  Are you okay?
Barney, Okay!? Awesome!!," Because tonight, I am getting us all into Okay.  What's going on, did I just have a stroke?"
Barney," Okay is the name of a club. Yeah, it's supposed to be incredibly exclusive. This friend of mine once waited outside for two hours, he couldn't get in."," What's going on, did I just have a stroke?  A friend of yours named you?"
Barney," No... a friend of mine named, shut up."," A friend of yours named you?  Yeah, well the owner goes to my gym. It turns out that he is a fan of my reporting for Metro News One. So now, I'm on the list for tonight."
